sira,isim,gelirler,gelir_yüzde_degisim,karlar,kar_yuzde_degisim,varliklar,piyasa_degeri,sira_degisikligi,calısanlar
145,Duke Energy,24677.0,0.052,3908.0,1.838,169587.0,85967.0,-19.0,27605.0
147,Visa,24105.0,0.103,12311.0,0.133,82896.0,480022.5,-14.0,21500.0
149,Cummins,24021.0,0.213,2131.0,0.191,23710.0,29140.9,1.0,59900.0
150,U.S. Bancorp,23714.0,-0.06,7963.0,0.606,573284.0,78929.8,-37.0,68796.0
151,Paccar,23522.3,0.256,1852.1,0.426,29301.7,30619.7,8.0,28500.0
152,McDonald's,23222.9,0.209,7545.2,0.595,53854.3,183873.6,5.0,200000.0
153,Southern,23113.0,0.134,2393.0,-0.233,127534.0,76877.0,-7.0,27164.0
154,C.H. Robinson Worldwide,23102.1,0.425,844.2,0.667,7028.1,13855.8,37.0,16877.0
155,Truist Financial,23064.0,-0.0559999999999999,6440.0,0.437,541241.0,75353.9,-36.0,51462.0
156,Applied Materials,23063.0,0.341,5888.0,0.627,25825.0,116431.4,20.0,27000.0
157,Freeport-McMoRan,22845.0,0.609,4306.0,6.189,48022.0,72360.8,58.0,24700.0
158,Lithia Motors,22831.7,0.74,1060.0,1.254,11146.9,8909.8,73.0,21150.0
159,Blackstone,22577.1,2.7,5857.4,4.603,41196.4,88907.2,295.0,3795.0
160,Hartford Financial Services Group,22390.0,0.091,2365.0,0.362,76578.0,23815.6,-18.0,18100.0
161,Aflac,22106.0,-0.002,4325.0,-0.095,157542.0,41812.8,-30.0,12447.0
162,Whirlpool,21985.0,0.13,1783.0,0.649,20285.0,10101.2,-8.0,69000.0
163,Union Pacific,21804.0,0.1159999999999999,6523.0,0.2189999999999999,63525.0,171681.6,-10.0,32124.0
164,International Paper,21780.0,0.0579999999999999,1752.0,2.635,25243.0,17301.1,-23.0,38200.0
165,Altria Group,21111.0,0.013,2475.0,-0.446,39523.0,94951.7,-27.0,6000.0
166,CDW,20820.8,0.127,988.6,0.254,13199.4,24140.2,-5.0,13900.0
167,ManpowerGroup,20724.4,0.151,382.4,15.067,9828.9,5025.6,-2.0,30000.0
169,Carrier Global,20613.0,0.181,1664.0,-0.16,26172.0,39127.4,2.0,58000.0
171,Cleveland-Cliffs,20444.0,2.818,2988.0,,18975.0,16891.2,330.0,26000.0
172,United States Steel,20275.0,1.081,4174.0,,17816.0,9832.3,138.0,24540.0
173,Becton Dickinson,20248.0,0.183,2092.0,1.394,53866.0,75749.1,4.0,75000.0
174,CarMax,20092.1,-0.062,746.9,-0.159,21541.5,15598.9,-38.0,26889.0
175,Sherwin-Williams,19944.6,0.086,1864.4,-0.0819999999999999,20666.7,65037.9,-13.0,61626.0
176,Builders FirstSource,19893.9,1.324,1725.4,4.503,10714.3,11408.9,174.0,28000.0
177,Marsh & McLennan,19820.0,0.151,3143.0,0.5589999999999999,34388.0,85681.3,-2.0,83000.0
178,PNC Financial Services Group,19698.0,-0.181,5674.0,-0.245,557191.0,77203.4,-58.0,58547.0
179,Lumen Technologies,19687.0,-0.049,2033.0,,57993.0,11533.4,-40.0,36000.0
180,Avnet,19534.7,0.108,193.1,,8925.4,4016.9,-12.0,14500.0
181,Tenet Healthcare,19485.0,0.105,914.0,1.291,27579.0,9387.6,-14.0,88968.0
182,Kimberly-Clark,19440.0,0.016,1814.0,-0.2289999999999999,17837.0,41496.1,-24.0,45000.0
183,Kohl's,19433.0,0.218,938.0,,15054.0,7774.6,12.0,67000.0
184,BlackRock,19374.0,0.196,5901.0,0.196,152648.0,116186.2,8.0,18400.0
185,Jones Lang LaSalle,19367.0,0.1669999999999999,961.6,1.389,15505.0,11945.5,1.0,98200.0
186,Lear,19263.1,0.13,373.9,1.359,13352.4,8513.1,-7.0,160100.0
187,Lincoln National,19230.0,0.103,1405.0,1.816,387301.0,11271.6,-15.0,10848.0
188,Charles Schwab,18996.0,0.569,5855.0,0.775,667270.0,159675.9,63.0,33400.0
189,Ross Stores,18916.2,0.509,1722.6,19.175,13640.3,31741.7,53.0,100000.0
190,Mastercard,18884.0,0.2339999999999999,8687.0,0.355,37669.0,349330.5,11.0,24000.0
191,Genuine Parts,18870.5,0.085,898.8,,14352.1,17888.1,-18.0,52000.0
192,WestRock,18746.1,0.066,838.3,,29254.3,12379.0,-22.0,49900.0
193,EOG Resources,18642.0,0.69,4664.0,,38236.0,69796.0,92.0,2800.0
194,Cognizant Technology Solutions,18507.0,0.111,2137.0,0.535,17852.0,47035.0,-9.0,330600.0
195,Moderna,18471.0,21.991,12202.0,,24669.0,69424.3,-1.3963636363636365,2700.0
196,Steel Dynamics,18408.9,0.917,3214.1,4.835,12531.2,15811.5,123.0,10640.0
